Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.000117648, 7.7342e-05, 3.9243e-05, 1.947e-06, 488, 660, 9
0.000151515, 9.8409e-05, 5.1759e-05, 1.236e-06, 479, 672, 4
0.000264455, 0.000161774, 9.9791e-05, 2.903e-06, 473, 711, 7
0.000346318, 0.000201798, 0.000140116, 8.524e-06, 481, 762, 8
0.000273847, 0.000136529, 0.000135698, 5.129e-06, 481, 1039, 12
0.000199022, 0.000114889, 8.2954e-05, 3.553e-06, 490, 936, 15
0.000223507, 0.00011892, 0.000103207, 2.87e-06, 487, 1088, 12
0.000335234, 0.000173795, 0.000159782, 6.615e-06, 487, 1092, 20
0.000613372, 0.000287509, 0.0003223, 1.4693e-05, 490, 1303, 20
0.000437889, 0.000208947, 0.000224453, 1.1383e-05, 508, 1712, 33
0.000368794, 0.000192628, 0.000174766, 6.048e-06, 466, 1605, 27
0.000525572, 0.000331835, 0.00018916, 1.2058e-05, 465, 1491, 27
0.000200944, 0.000110853, 8.8476e-05, 4.375e-06, 463, 1640, 23
0.000328532, 0.000195684, 0.000131365, 7.337e-06, 485, 1745, 29
0.000160651, 8.8012e-05, 7.1856e-05, 3.676e-06, 492, 1526, 17
0.000290324, 0.000163747, 0.000125522, 3.809e-06, 476, 1363, 15
0.000192013, 0.000113, 7.811e-05, 3.332e-06, 481, 1382, 18
0.000314856, 0.000178806, 0.000133403, 1.968e-06, 481, 1421, 7
0.00022756, 0.000126966, 9.9581e-05, 4.878e-06, 474, 1390, 20
0.000369613, 0.000183968, 0.000183513, 6.475e-06, 495, 1572, 14
0.000271588, 0.000144812, 0.000125824, 3.391e-06, 482, 1500, 13
0.000214889, 0.000108391, 0.000105228, 4.195e-06, 492, 1554, 14
0.000394746, 0.000210715, 0.000182376, 7.33e-06, 494, 1447, 17
0.000206011, 0.000123632, 8.1124e-05, 3.958e-06, 481, 1572, 16
0.000453307, 0.000218415, 0.000231828, 5.049e-06, 478, 1517, 16
0.000193064, 0.000113697, 7.8575e-05, 4.123e-06, 476, 1526, 22
0.000629291, 0.00031224, 0.000314915, 1.0144e-05, 480, 1609, 11
0.000320067, 0.000200672, 0.0001181, 4.311e-06, 472, 1562, 14
0.000238494, 0.000142674, 9.4779e-05, 1.913e-06, 483, 1444, 8
0.000495872, 0.000226144, 0.000266578, 1.0017e-05, 477, 1530, 17
0.000293406, 0.000177625, 0.000114527, 3.436e-06, 481, 1455, 9
0.000282874, 0.000170746, 0.000110218, 4.51e-06, 484, 1500, 16
0.00023454, 0.00014526, 8.8155e-05, 8.641e-06, 473, 1692, 10
0.000293955, 0.000201491, 8.7336e-05, 2.632e-06, 472, 1561, 12
0.000256003, 0.000129379, 0.000125432, 6.111e-06, 485, 1483, 14
0.000217422, 0.000137441, 7.717e-05, 2.33e-06, 479, 1580, 10
0.000226342, 0.000138777, 8.6641e-05, 4.037e-06, 481, 1436, 12
0.000525337, 0.000314678, 0.000208229, 3.735e-06, 475, 1433, 7
0.000285628, 0.000163743, 0.000119827, 4.272e-06, 487, 1494, 16
0.000256075, 0.000156824, 9.8151e-05, 2.96e-06, 482, 1589, 12
0.000544053, 0.000354138, 0.000186337, 7.874e-06, 482, 1620, 12
0.000158826, 9.3957e-05, 6.4151e-05, 2.436e-06, 486, 1557, 11
0.000306996, 0.000184644, 0.00012101, 2.679e-06, 488, 1509, 10
0.000246515, 0.000145964, 9.956e-05, 2.504e-06, 483, 1520, 12
0.000284664, 0.000183252, 0.000100437, 3.421e-06, 483, 1556, 9
0.000389435, 0.000240281, 0.000147865, 2.851e-06, 476, 1388, 6
0.000529382, 0.000302253, 0.000223938, 6.855e-06, 481, 1561, 10
0.000414697, 0.000217465, 0.000195238, 7.133e-06, 468, 1402, 7
0.000204637, 0.000113722, 9.0151e-05, 1.984e-06, 475, 1436, 7
0.000505728, 0.000336803, 0.000165027, 3.902e-06, 472, 1390, 8
0.000701806, 0.000386037, 0.000310597, 8.554e-06, 483, 1446, 5
0.0002869, 0.000173111, 0.000112403, 2.086e-06, 482, 1479, 6
0.000163523, 0.00010511, 5.7208e-05, 2.245e-06, 485, 1498, 9
0.000312741, 0.00020351, 0.000108349, 3.01e-06, 485, 1486, 10
0.000387701, 0.000224904, 0.000160576, 6.201e-06, 484, 1497, 12
0.000359433, 0.000247671, 0.000109754, 3.173e-06, 492, 1569, 8
0.000250283, 0.000154117, 9.4924e-05, 2.519e-06, 499, 1597, 8
0.000298815, 0.000161974, 0.000136027, 2.24e-06, 494, 1442, 5
0.000446847, 0.000219732, 0.000223625, 7.542e-06, 480, 1542, 9
0.000298501, 0.000206177, 9.036e-05, 1.7e-06, 522, 1641, 5
0.000599857, 0.000406685, 0.000190346, 5.98e-06, 489, 1482, 9
0.000237561, 0.00014055, 9.5459e-05, 2.384e-06, 504, 1554, 8
0.000301257, 0.0001879, 0.000110488, 3.063e-06, 496, 1457, 11
0.000405135, 0.000216859, 0.000186117, 6.146e-06, 507, 1480, 12
0.000628962, 0.000311362, 0.000311596, 8.204e-06, 487, 1567, 11
